symbol,name,reportDate,fiscalDateEnding,estimate,currency
AMWL,American Well Corporation - Class A,2022-11-17,2022-09-30,-0.256,USD
AMYT,Amryt Pharma Plc,2022-11-10,2022-09-30,-0.024,EUR
AMYZF,AMYZF,2022-11-28,2022-10-31,,USD
ANAB,AnaptysBio Inc,2022-11-10,2022-09-30,-0.6521,USD
ANAT,ANAT,2022-10-31,2022-09-30,,USD
ANCTF,ANCTF,2022-11-29,2022-10-31,0.7733,USD
ANCUF,ANCUF,2022-11-21,2022-10-31,,USD
ANDE,Andersons Inc,2022-11-07,2022-09-30,0.48,USD
ANDHF,ANDHF,2022-11-08,2022-09-30,,USD
ANDR,ANDR,2022-11-14,2022-09-30,0,USD
ANEB,Anebulo Pharmaceuticals Inc,2022-11-11,2022-09-30,-0.1,USD
ANET,Arista Networks Inc,2022-10-31,2022-09-30,1.04,USD
ANF,Abercrombie & Fitch Co. - Class A,2022-11-29,2022-10-31,-0.1234,USD
ANFIF,ANFIF,2022-11-30,2022-09-30,0,USD
ANGH,Anghami Inc,2022-11-30,2022-09-30,0,USD
ANGI,Angi Inc - Class A,2022-11-03,2022-09-30,-0.034,USD
ANGN,Angion Biomedica Corp,2022-11-11,2022-09-30,-0.3933,USD
ANGO,Angiodynamic Inc,2023-01-05,2022-11-30,-0.005,USD
ANIP,ANI Pharmaceuticals Inc,2022-11-09,2022-09-30,0.5267,USD
ANIX,Anixa Biosciences Inc,2022-12-28,2022-10-31,-0.13,USD
ANNX,Annexon Inc,2022-11-21,2022-09-30,-0.8561,USD
ANPC,AnPac Bio-Medical Science Co Ltd,2022-11-25,2022-09-30,,CNY
ANSS,Ansys Inc,2022-11-09,2022-09-30,1.65,USD
ANTE,AirNet Technology Inc,2022-11-16,2022-09-30,0,USD
ANTH,ANTH,2022-11-07,2022-09-30,0,USD
ANTX,AN2 Therapeutics Inc,2022-11-30,2022-09-30,-1.52,USD
ANVS,Annovis Bio Inc,2022-11-30,2022-09-30,-0.935,USD
